name,salary_from,salary_to,salary_currency,area_name,published_at
Журналист-редактор,,50000.0,RUR,Санкт-Петербург,2022-12-26T00:07:53+0300
SQL-разработчик,140000.0,,RUR,Новосибирск,2022-12-26T05:37:38+0300
Продуктовый аналитик,80000.0,,RUR,Томск,2022-12-26T05:33:15+0300
React - разработчик | React Developer в продукт,,,,Санкт-Петербург,2022-12-26T04:37:56+0300
Менеджер строительного проекта,,,,Хабаровск,2022-12-26T05:27:20+0300
Менеджер группы по операционной эффективности и цифровизации,,,,Междуреченск,2022-12-26T04:50:34+0300
DevOps / Системный администратор,40000.0,,RUR,Волгоград,2022-12-26T04:13:32+0300
Product manager / Продакт менеджер,150000.0,250000.0,RUR,Москва,2022-12-26T01:43:58+0300
Инженер-электронщик,80000.0,80000.0,RUR,Санкт-Петербург,2022-12-26T00:24:32+0300
Руководитель проектов,40000.0,,RUR,Биробиджан,2022-12-26T03:31:07+0300
Механик,,,,Белгород,2022-12-26T00:15:00+0300
Механик на производстве,80000.0,,RUR,Усть-Илимск,2022-12-26T04:44:36+0300
Менеджер проекта,,,,Москва,2022-12-26T02:07:12+0300
Системный администратор,50000.0,,RUR,Новосибирск,2022-12-26T05:24:50+0300
Механик на производстве,80000.0,,RUR,Братск,2022-12-26T04:45:32+0300
Инженер-программист,,,,Москва,2022-12-26T05:41:19+0300
Дизайнер,60000.0,60000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
Системный администратор,60000.0,60000.0,RUR,Иркутск,2022-12-26T04:09:44+0300
Главный механик (Хабаровск),130000.0,,RUR,Хабаровск,2022-12-26T03:56:01+0300
Эксперт 1 линии SOC,80000.0,,RUR,Новосибирск,2022-12-26T04:59:26+0300
Системный администратор,55000.0,,RUR,Барнаул,2022-12-26T05:41:45+0300
Контролёр технического состояния транспортных средств,45000.0,45000.0,RUR,Новосибирск,2022-12-26T05:23:42+0300
"Back-end разработчик - стажер (php, Java/Kotlin)",15000.0,30000.0,RUR,Минск,2022-12-26T02:03:25+0300
Менеджер по развитию программ лояльности,,,,Москва,2022-12-26T01:44:03+0300
Программист Python,,,,Новосибирск,2022-12-26T05:22:23+0300
Аналитик,,,,Новосибирск,2022-12-26T05:33:18+0300
Ведущий инженер сопровождения прикладных банковских сервисов (автоматизированных систем),,,,Хабаровск,2022-12-26T02:47:57+0300
Сетевой администратор,60000.0,,RUR,Владивосток,2022-12-26T04:33:18+0300
Менеджер по продукту / Бренд менеджер,70000.0,130000.0,RUR,Москва,2022-12-26T00:53:24+0300
Инженер по оборудованию,55000.0,70000.0,RUR,Новосибирск,2022-12-26T05:59:19+0300
Специалист по мониторингу систем спутникового слежения,,,,Краснообск,2022-12-26T04:48:38+0300
Менеджер группы по операционной эффективности и цифровизации,,,,Новосибирск,2022-12-26T04:50:28+0300
Рабочий по обслуживанию зданий и сооружений (Амурский поселок),,,,Омск,2022-12-26T05:51:18+0300
Дизайнер/Графический дизайнер/Графический (web) дизайнер,35000.0,50000.0,RUR,Саранск,2022-12-26T00:27:56+0300
Сервис-инженер промышленного оборудования,,,,Иркутск,2022-12-26T04:08:12+0300
Специалист службы поддержки,45000.0,55000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
Техник связи,,,,Норильск,2022-12-26T05:57:03+0300
Оператор станка с ЧПУ,45000.0,60000.0,RUR,Новосибирск,2022-12-26T05:37:20+0300
Мастер по ремонту компьютеров,50000.0,150000.0,RUR,Чита,2022-12-26T05:20:53+0300
Контент-менеджер,45000.0,45000.0,RUR,Благовещенск (Амурская область),2022-12-26T03:11:56+0300
PHP-программист middle laravel,4000.0,,BYR,Минск,2022-12-26T00:15:17+0300
Менеджер продукта,,,,Новосибирск,2022-12-26T05:52:21+0300
Специалист аналитической службы,68000.0,,RUR,Благовещенск (Амурская область),2022-12-26T02:35:08+0300
Аккаунт-менеджер / BDM / по рекламодателям CPA / affiliate,,,,Москва,2022-12-26T05:51:32+0300
Токарь,30000.0,,RUR,Прокопьевск,2022-12-26T03:35:12+0300
"Монтажник слаботочных систем (охранно-пожарная сигнализация, видеонаблюдение, г.Темиртау)",250000.0,250000.0,KZT,Темиртау,2022-12-26T05:03:54+0300
Инженер сервисной службы,40000.0,70000.0,RUR,Красноярск,2022-12-26T04:56:15+0300
Консультант 1C,,45000.0,RUR,Барнаул,2022-12-26T05:49:00+0300
Менеджер группы по операционной эффективности и цифровизации,,,,Казань,2022-12-26T04:50:38+0300
Специалист технической поддержки,30000.0,45000.0,RUR,Братск,2022-12-26T03:32:06+0300
Специалист технической поддержки второй линии,,,,Новосибирск,2022-12-26T05:09:01+0300
Менеджер строительного проекта,,,,Владивосток,2022-12-26T05:27:20+0300
Оператор станков с ЧПУ,45000.0,70000.0,RUR,Новосибирск,2022-12-26T04:49:16+0300
Менеджер группы по операционной эффективности и цифровизации,,,,Новокузнецк,2022-12-26T04:50:13+0300
Senior Product Manager,,,,Санкт-Петербург,2022-12-26T00:02:09+0300
Разработчик C/C++,,,,Новосибирск,2022-12-26T04:18:07+0300
Специалист по составлению плана расстановки товара,34000.0,43000.0,RUR,Новосибирск,2022-12-26T04:24:28+0300
Руководитель отдела продуктового дизайна,,,,Иркутск,2022-12-26T05:58:28+0300
Графический дизайнер на digital-макеты,,,,Санкт-Петербург,2022-12-26T03:15:22+0300
Product Owner (Карточные продукты),,,,Москва,2022-12-26T01:01:17+0300
Кромщик/оператор кромкооблицовочного станка,70000.0,80000.0,RUR,Люберцы,2022-12-26T00:39:09+0300
Разработчик ‎Android,,380000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
Инженер по обеспечению функционирования сетей связи,35000.0,50000.0,RUR,Владивосток,2022-12-26T04:50:55+0300
Java разработчик (Middle/Senior),200000.0,,RUR,Новосибирск,2022-12-26T05:33:24+0300
Механик на производстве,80000.0,,RUR,Усть-Кут,2022-12-26T04:46:07+0300
Технический писатель,,,,Новосибирск,2022-12-26T05:37:20+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Челябинск,2022-12-26T04:53:04+0300
Токарь-универсал (АО СибЭР),60000.0,85000.0,RUR,Новосибирск,2022-12-26T03:15:07+0300
Ведущий системный администратор,110000.0,130000.0,RUR,Владивосток,2022-12-26T05:19:10+0300
Специалист нормативно-справочной информации,,,,Новосибирск,2022-12-26T04:52:47+0300
Специалист нормативно-справочной информации,,,,Прокопьевск,2022-12-26T04:53:11+0300
Гибщик металла,54000.0,,RUR,Красноярск,2022-12-26T05:30:15+0300
Сервисный инженер центра инжинирингового сервиса УГОК,,,,Санкт-Петербург,2022-12-26T04:53:04+0300
Инженер-программист микроконтроллеров/разработчик IoT-устройств,,,,Новосибирск,2022-12-26T04:18:03+0300
Токарь,90000.0,,RUR,Москва,2022-12-26T01:54:06+0300
Python разработчик (проект Лаборатория измерительных систем),,,,Санкт-Петербург,2022-12-26T02:06:32+0300
Механик клинингового оборудования,70000.0,100000.0,RUR,Москва,2022-12-26T02:35:17+0300
Python разработчик (проект Лаборатория измерительных систем),,,,Москва,2022-12-26T02:06:32+0300
Инженер электросвязи,36000.0,,RUR,Тында,2022-12-26T05:00:14+0300
DevOps инженер,,,,Владивосток,2022-12-26T04:51:18+0300
Специалист технической поддержки программного обеспечения,30000.0,,RUR,Новосибирск,2022-12-26T04:24:28+0300
Разработчик C#,80000.0,200000.0,RUR,Новосибирск,2022-12-26T03:23:20+0300
Системный аналитик,100000.0,150000.0,RUR,Владивосток,2022-12-26T02:03:51+0300
Токарь,35000.0,,RUR,Омск,2022-12-26T05:30:58+0300
Программист 1С-Системный администратор,75000.0,,RUR,Воронеж,2022-12-26T01:54:04+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Екатеринбург,2022-12-26T04:53:04+0300
Токарь,300000.0,300000.0,KZT,Усть-Каменогорск,2022-12-26T05:23:34+0300
Токарь-универсал,54000.0,,RUR,Красноярск,2022-12-26T05:30:15+0300
Системный администратор,70000.0,,RUR,Владивосток,2022-12-26T05:30:16+0300
Токарь,20000.0,20000.0,RUR,Барнаул,2022-12-26T04:27:16+0300
Оператор станков ЧПУ,35000.0,50000.0,RUR,Красноярск,2022-12-26T04:56:02+0300
Проектный менеджер,55000.0,115000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
Маркетолог-аналитик,,,,Владивосток,2022-12-26T05:37:42+0300
Менеджер по проектам,60000.0,,RUR,Красноярск,2022-12-26T05:03:30+0300
Руководитель отдела/направления ИБ,,,,Москва,2022-12-26T00:05:53+0300
Оператор технической поддержки,27000.0,32000.0,RUR,Красноярск,2022-12-26T05:41:47+0300
Ведущий инженер-программист,95000.0,99000.0,RUR,Владивосток,2022-12-26T02:00:37+0300
Менеджер группы по операционной эффективности и цифровизации,,,,Прокопьевск,2022-12-26T04:50:30+0300
Монтажник систем пожарной сигнализации и оповещения людей о пожаре,45000.0,75000.0,RUR,Новосибирск,2022-12-26T05:23:55+0300
Ведущий аналитик (ценные бумаги),,,,Самара,2022-12-26T00:36:00+0300
Бизнес-аналитик,,,,Москва,2022-12-26T05:50:59+0300
Менеджер СМК (бизнес-аналитик),35000.0,,RUR,Биробиджан,2022-12-26T03:25:28+0300
Java/Kotlin developer,,,,Москва,2022-12-26T00:41:13+0300
Java программист / Java developer,,,,Новосибирск,2022-12-26T05:20:02+0300
Руководитель проектов,,,,Череповец,2022-12-26T00:21:35+0300
Главный механик,40600.0,40600.0,RUR,Ярославль,2022-12-26T00:57:26+0300
Оператор станка с ЧПУ лазерной и плазменной резки,50000.0,,RUR,Барнаул,2022-12-26T03:51:11+0300
"Сервис-менеджер, г. Славгород",25000.0,25000.0,RUR,Славгород (Алтайский край),2022-12-26T05:16:34+0300
Региональный менеджер,68750.0,120000.0,RUR,Екатеринбург,2022-12-26T01:41:37+0300
Руководитель проекта,,,,Алматы,2022-12-26T05:48:56+0300
Менеджер по продлению договоров и сопровождению клиентов,55000.0,,RUR,Красноярск,2022-12-26T03:22:21+0300
Strong Middle React Engineer,,,,Алматы,2022-12-26T01:38:13+0300
Junior project manager в web-студию,35000.0,60000.0,RUR,Минск,2022-12-26T01:36:42+0300
Аналитик отдела продаж,45000.0,45000.0,RUR,Новосибирск,2022-12-26T05:26:19+0300
Системный администратор,,,,Новосибирск,2022-12-26T04:23:33+0300
Токарь-расточник,,,,Новосибирск,2022-12-26T04:13:44+0300
Инженер-программист,60000.0,,RUR,Владивосток,2022-12-26T04:35:30+0300
Инженер АСУ ТП,,,,Искитим,2022-12-26T04:53:32+0300
Руководитель отдела продуктового дизайна,,,,Красноярск,2022-12-26T05:59:56+0300
Actuary,,,,Астана,2022-12-26T05:11:01+0300
Аналитик данных/Middle Data scientist (Computer Vision),,,,Санкт-Петербург,2022-12-26T02:12:36+0300
Техник по обслуживанию кафе,50000.0,50000.0,RUR,Новосибирск,2022-12-26T05:04:02+0300
Автор по информационной безопасности,,50000.0,RUR,Москва,2022-12-26T05:31:43+0300
Инженер-программист АСУ,75000.0,,RUR,Новосибирск,2022-12-26T05:13:48+0300
Программист 1С,90000.0,,RUR,Благовещенск (Амурская область),2022-12-26T03:02:39+0300
Аналитик данных/Middle Data scientist (Computer Vision),,,,Москва,2022-12-26T02:12:36+0300
Программист 1С,170000.0,210000.0,RUR,Владивосток,2022-12-26T02:20:40+0300
Product Owner в дивизион «Защитные страховые продукты и сервисы»,,,,Москва,2022-12-26T01:00:45+0300
Эксперт 2 линии SOC,100000.0,,RUR,Новосибирск,2022-12-26T04:59:21+0300
Механик по эксплуатации климатического оборудования,39300.0,39300.0,RUR,Красноярск,2022-12-26T05:28:18+0300
Начальник проектного отдела,120000.0,,RUR,Кемерово,2022-12-26T04:39:01+0300
Инженер по тестированию техники,60000.0,70000.0,RUR,Артем,2022-12-26T02:10:40+0300
Пишущий редактор в IT,,,,Омск,2022-12-26T05:22:17+0300
Токарь,29000.0,,RUR,Красноярск,2022-12-26T05:52:10+0300
Токарь-фрезеровщик,40000.0,,RUR,Красноярск,2022-12-26T04:57:31+0300
Техник,35000.0,35000.0,RUR,Хабаровск,2022-12-26T02:20:01+0300
Фрезеровщик на гидрофрезерный станок,40000.0,55000.0,RUR,Омск,2022-12-26T05:56:21+0300
Старший мастер по обслуживанию абонентов,41000.0,,RUR,Ангарск,2022-12-26T04:06:58+0300
Арт-менеджер,,,,Красноярск,2022-12-26T04:52:20+0300
Сервисный инженер по ремонту холодильного оборудования / холодильщик,60000.0,,RUR,Санкт-Петербург,2022-12-26T01:49:53+0300
Инженер-теплотехник/монтажник,60000.0,100000.0,RUR,Новосибирск,2022-12-26T03:55:51+0300
Программист 1C (Удаленный формат работы),100000.0,250000.0,RUR,Москва,2022-12-26T00:12:08+0300
Монтажник систем видеонаблюдения (ул.Алексеева),40000.0,,RUR,Красноярск,2022-12-26T05:40:26+0300
Руководитель службы заказчика (жилищное строительство),,,,Новосибирск,2022-12-26T05:16:02+0300
Администратор системы дистанционного обучения (iSpring),40000.0,45000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Санкт-Петербург,2022-12-26T04:53:04+0300
Инженер слаботочных систем,,,,Москва,2022-12-26T01:10:05+0300
Менеджер отдела сервиса (Кассовое оборудование),80460.0,86200.0,RUR,Москва,2022-12-26T00:15:26+0300
Сервисный инженер центра инжинирингового сервиса (Айхальский ГОК),,,,Москва,2022-12-26T04:53:04+0300
Middle QA Mobile Engineer Android/iOS,45000.0,70000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
Дизайнер корпусной мебели,50000.0,,RUR,Кемерово,2022-12-26T05:56:42+0300
Сетевой администратор,80000.0,,RUR,Владивосток,2022-12-26T04:51:12+0300
Руководитель автотранспортного предприятия,60000.0,80000.0,RUR,Красноярск,2022-12-26T04:52:18+0300
Фрезеровщик ЧПУ,60000.0,60000.0,RUR,Красноярск,2022-12-26T05:30:15+0300
DevOps (удаленная работа),,,,Москва,2022-12-26T02:15:16+0300
Главный специалист,54000.0,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
Специалист личной поддержки Теле2,35000.0,45000.0,RUR,Иркутск,2022-12-26T03:53:24+0300
Помощник системного администратора,28500.0,32000.0,RUR,Находка,2022-12-26T05:51:29+0300
Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Удачный,2022-12-26T04:53:04+0300
Фрезеровщик 5 разряда (АО СибЭР),65000.0,85000.0,RUR,Новосибирск,2022-12-26T03:18:47+0300
Ведущий эксперт (сопровождение систем SOC),120000.0,,RUR,Новосибирск,2022-12-26T04:59:14+0300
Сервисный инженер центра инжинирингового сервиса УГОК,,,,Воркута,2022-12-26T04:53:04+0300
Бизнес-аналитик,150000.0,,RUR,Москва,2022-12-26T05:15:52+0300
Механик участка по ремонту оборудования,50000.0,,RUR,Искитим,2022-12-26T04:14:23+0300
Главный механик,60000.0,,RUR,Барнаул,2022-12-26T03:55:21+0300
Токарь-универсал,50000.0,60000.0,RUR,Челябинск,2022-12-26T05:53:19+0300
Системный администратор Linux,,,,Владивосток,2022-12-26T04:51:23+0300
Руководитель транспортного отдела,50000.0,,RUR,Якутск,2022-12-26T03:54:48+0300
Backend разработчик (PHP),100000.0,,RUR,Новосибирск,2022-12-26T05:33:28+0300
Техник по обслуживанию пожарных сигнализаций,60000.0,,RUR,Москва,2022-12-26T01:10:22+0300
QA Automation,,,,Санкт-Петербург,2022-12-26T05:46:02+0300
Специалист техподдержки 1С,50000.0,70000.0,RUR,Владивосток,2022-12-26T05:10:32+0300
Python разработчик (проект Лаборатория измерительных систем),,,,Череповец,2022-12-26T02:06:32+0300
Технический специалист домофонии(без опыта),35000.0,,RUR,Красноярск,2022-12-26T05:41:40+0300
Механик/Специалист по БДД,45200.0,,RUR,Красноярск,2022-12-26T04:54:52+0300
Наладчик оборудования с ЧПУ,40000.0,58000.0,RUR,Барнаул,2022-12-26T05:26:10+0300
Токарь-расточник 5 разряда (АО СибЭР),70000.0,,RUR,Новосибирск,2022-12-26T03:18:05+0300
Механик технологического оборудования,41200.0,,RUR,Искитим,2022-12-26T04:53:32+0300
Фрезеровщик,45000.0,,RUR,Красноярск,2022-12-26T04:57:38+0300
Начальник Сектора сопровождения и развития ДБО,,,,Владивосток,2022-12-26T02:46:29+0300
Программист 1С (УДАЛЕННО),60000.0,,RUR,Томск,2022-12-26T05:05:54+0300
Бизнес-аналитик,45000.0,80000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
DevOps-инженер,,,,Новосибирск,2022-12-26T05:59:00+0300
Сервисный инженер центра инжинирингового сервиса УГОК,,,,Кемерово,2022-12-26T04:53:04+0300
Токарь,63000.0,65000.0,RUR,Новокузнецк,2022-12-26T04:53:29+0300
Наладчик ОПС/техник ОПС,,,,Новосибирск,2022-12-26T05:23:55+0300
Оформитель торгового комплекса (д. Елино),45000.0,55000.0,RUR,Зеленоград,2022-12-26T03:19:32+0300
Интегратор/разработчик Bitrix24,30000.0,,RUR,Иркутск,2022-12-26T04:57:32+0300
"Программист 1С в сеть магазинов ""КУЗЯ""",70000.0,,RUR,Омск,2022-12-26T04:10:39+0300
Middle Frontend developer (Vue.js/Nuxt),126000.0,193000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
Фрезеровщик,,,,Барнаул,2022-12-26T04:17:03+0300
Фрезеровщик,60000.0,60000.0,RUR,Красноярск,2022-12-26T05:30:15+0300
Бизнес-аналитик,,,,Новосибирск,2022-12-26T05:20:02+0300
Специалист по внедрению и сопровождению экономического ПО на платформе Гедымин,2500.0,,BYR,Минск,2022-12-26T01:20:00+0300
"Сервис-менеджер, г. Бийск",25000.0,30000.0,RUR,Бийск,2022-12-26T05:16:18+0300
Аналитик данных/Middle Data scientist (Computer Vision),,,,Череповец,2022-12-26T02:12:36+0300
PHP-разработчик / PHP developer,,,,Новосибирск,2022-12-26T05:20:02+0300
Senior Java developer,250000.0,,RUR,Новосибирск,2022-12-26T05:33:20+0300
Инженер-руководитель по погрузо-разгрузочным работам,35000.0,50000.0,RUR,Омск,2022-12-26T04:10:40+0300
Ведущий инженер-программист,80000.0,120000.0,RUR,Барнаул,2022-12-26T05:26:05+0300
Токарь на плавочно-расточной станок,55000.0,,RUR,Белово,2022-12-26T05:27:55+0300
Менеджер по работе с клиентами - Дизайнер мебели,60000.0,,RUR,Новосибирск,2022-12-26T05:45:14+0300
Редактор контента о картах и сбережениях,,,,Москва,2022-12-26T02:27:12+0300
Продакт-менеджер,44000.0,,RUR,Томск,2022-12-26T05:56:56+0300
Инженер по тестированию техники,60000.0,70000.0,RUR,Новый (Приморский край),2022-12-26T02:10:40+0300
Senior Android разработчик (удаленно),350000.0,,RUR,Санкт-Петербург,2022-12-26T00:01:32+0300
Системный администратор (Академгородок),,,,Новосибирск,2022-12-26T05:20:02+0300
1С Разработчик (remote),140000.0,200000.0,RUR,Новосибирск,2022-12-26T05:02:52+0300
Сетевой инженер и администратор серверного оборудования,,,,Москва,2022-12-26T05:56:11+0300
Сервисный инженер центра инжинирингового сервиса УГОК,,,,Удачный,2022-12-26T04:53:04+0300
Механик по сервису (Дистрибьютор строительной техники Сase),50000.0,160000.0,RUR,Новосибирск,2022-12-26T04:39:02+0300
Tech Lead Java,,,,Москва,2022-12-26T00:41:13+0300
Технический специалист,30000.0,,RUR,Красноярск,2022-12-26T05:40:52+0300
Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Иркутск,2022-12-26T04:53:04+0300
Системный администратор,,,,Владивосток,2022-12-26T02:03:51+0300
Технический специалист,40000.0,,RUR,Красноярск,2022-12-26T04:48:30+0300
Инженер по тестированию техники,60000.0,70000.0,RUR,Вольно-Надеждинское,2022-12-26T02:10:40+0300
Директор парка,,,,Красноярск,2022-12-26T04:52:17+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Нижний Новгород,2022-12-26T04:53:04+0300
Менеджер группы по операционной эффективности и цифровизации,,,,Томск,2022-12-26T04:50:42+0300
Программист / разработчик 1С (подработка),,,,Москва,2022-12-26T02:23:00+0300
"Сервис-менеджер, г. Рубцовск",28000.0,28000.0,RUR,Рубцовск,2022-12-26T05:16:08+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Мирный (Республика Саха (Якутия)),2022-12-26T04:53:04+0300
Автор по информационной безопасности,,50000.0,RUR,Санкт-Петербург,2022-12-26T05:31:43+0300
Руководитель центра мониторинга и реагирования на инциденты Security Operation Center (SOC),,,,Новосибирск,2022-12-26T04:59:32+0300
Actuary,,,,Алматы,2022-12-26T05:11:01+0300
Руководитель проектов 1C,150000.0,300000.0,RUR,Москва,2022-12-26T00:12:09+0300
Аналитик 1С (WMS системы),,130000.0,RUR,Москва,2022-12-26T00:12:09+0300
Аналитик 1С,60000.0,100000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
Специалист по информационной безопасности,,,,Новосибирск,2022-12-26T05:38:52+0300
Lead DevOps,,,,Москва,2022-12-26T00:41:13+0300
Специалист по эксплуатации радиоподсистемы,30000.0,,RUR,Березники,2022-12-26T05:34:26+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Череповец,2022-12-26T04:53:04+0300
DevOps engineer,,,,Москва,2022-12-26T00:41:13+0300
Специалист кассовых систем,65000.0,70000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
Senior Frontend developer (Vue.js/Nuxt),194000.0,280000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
Монтажник систем видеонаблюдения,30000.0,,RUR,Красноярск,2022-12-26T05:41:00+0300
Старший системный администратор,,,,Владивосток,2022-12-26T02:03:52+0300
Middle программист 1С,150000.0,170000.0,RUR,Владивосток,2022-12-26T03:53:25+0300
Менеджер по проектам (Project manager),,,,Владивосток,2022-12-26T02:03:52+0300
Старший специалист по банковским картам,34000.0,,RUR,Владивосток,2022-12-26T04:47:15+0300
Ведущий специалист (Бизнес-аналитик в ИТ сфере),50000.0,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
Сетевой инженер и администратор серверного оборудования,,,,Волгоград,2022-12-26T05:56:11+0300
Junior программист 1С,50000.0,80000.0,RUR,Владивосток,2022-12-26T03:54:05+0300
Техник ОПС,50000.0,50000.0,RUR,Красноярск,2022-12-26T04:52:19+0300
Плавильщик металла и сплавов,41500.0,,RUR,Новоалтайск,2022-12-26T05:16:05+0300
Ученик мастера по ремонту крупно-бытовой техники,90000.0,110000.0,RUR,Новосибирск,2022-12-26T05:05:54+0300
Руководитель проектного офиса,,,,Владивосток,2022-12-26T02:03:52+0300
Долбежник,35000.0,90000.0,RUR,Каменск-Уральский,2022-12-26T05:26:35+0300
Руководитель проекта 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
Ведущий специалист 1С,140000.0,,RUR,Владивосток,2022-12-26T02:03:52+0300
Программист 1С,100000.0,,RUR,Владивосток,2022-12-26T02:03:52+0300
Erlang разработчик,,,,Москва,2022-12-26T05:41:02+0300
Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Айхал,2022-12-26T04:53:04+0300
Аналитик 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
Team lead of Analytics & Projects stream,,,,Алматы,2022-12-26T01:21:40+0300
Ведущий инженер-программист,90000.0,,RUR,Владивосток,2022-12-26T04:35:20+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Томск,2022-12-26T04:53:04+0300
Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Новокузнецк,2022-12-26T04:53:04+0300
"Мастер сервисного центра, ТЦ Фортуна Гранд",32300.0,,RUR,Иркутск,2022-12-26T03:58:24+0300
Автор по информационной безопасности,,50000.0,RUR,Казань,2022-12-26T05:31:44+0300
Аналитик 1С (Налоговый мониторинг),,,,Москва,2022-12-26T00:12:09+0300
Монтажник систем видеонаблюдения,30000.0,,RUR,Красноярск,2022-12-26T05:40:35+0300
Оформитель торгового комплекса,28800.0,31100.0,RUR,Челябинск,2022-12-26T03:19:44+0300
Дизайнер мебели,,,,Новосибирск,2022-12-26T05:45:30+0300
Автор по информационной безопасности,,50000.0,RUR,Ростов-на-Дону,2022-12-26T05:31:44+0300
Автор по информационной безопасности,,50000.0,RUR,Новосибирск,2022-12-26T05:31:43+0300
Сервисный инженер (горно-шахтное оборудование),60000.0,,RUR,Новокузнецк,2022-12-26T05:41:12+0300
Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Кемерово,2022-12-26T04:53:04+0300
Токарь,50000.0,,RUR,Новосибирск,2022-12-26T05:01:36+0300
Программист 1С,100000.0,,RUR,Новосибирск,2022-12-26T05:39:43+0300
Токарь,,,,Ачинск,2022-12-26T04:49:19+0300
Автор по информационной безопасности,,50000.0,RUR,Астана,2022-12-26T05:31:43+0300
Android Developer ( middle++\ senior),250000.0,,RUR,Новосибирск,2022-12-26T05:20:02+0300
Сетевой инженер и администратор серверного оборудования (Балашиха или Волгоград),,,,Балашиха,2022-12-26T05:56:12+0300
Сервисный инженер (горно-шахтное оборудование),60000.0,,RUR,Прокопьевск,2022-12-26T05:41:12+0300
Автор по информационной безопасности,,50000.0,RUR,Омск,2022-12-26T05:31:43+0300
Ученик мастера по ремонту и обслуживанию бытовой техники,80000.0,150000.0,RUR,Новосибирск,2022-12-26T05:05:44+0300
Автор по информационной безопасности,,50000.0,RUR,Челябинск,2022-12-26T05:31:43+0300
